1,USA
2,USA
3,GBR
4,ROC
5,SRB
6,CHN
7,CHN
8,UKR
9,CHN
10,UKR
11,KUW
12,GER
13,GER
14,GBR
15,GER
16,GER
17,USA
18,ROC
19,ROC
20,MEX
21,MEX
22,AUS
23,CAN
24,GER
25,GER
26,CZE
27,CZE
28,HUN
29,MDA
30,POR
31,HUN
32,GBR
33,NED
34,ITA
35,AUS
36,SLO
37,ROC
38,IRL
39,PHI
40,ROC
41,KAZ
42,GBR
43,ROC
44,AZE
45,CUB
46,GHA
47,BRA
48,NZL
49,ROC
50,NED
51,THA
52,FIN
53,USA
54,IND
55,JPN
56,TPE
57,JPN
58,KAZ
59,ITA
60,GBR
61,AUS
62,ARM
63,UKR
64,UKR
65,COL
66,NED
67,USA
68,NZL
69,JPN
70,TPE
71,GER
72,TPE
73,GER
74,GER
75,GER
76,AUS
77,NZL
78,GBR
79,TUR
80,CHN
81,EGY
82,CRO
83,CUB
84,KOR
85,GBR
86,FRA
87,CIV
88,EGY
89,TUR
90,TPE
91,ROC
92,KOR
93,ISR
94,SRB
95,GBR
96,CAN
97,HKG
98,ROC
99,ROC
100,NED
101,ITA
102,ROC
103,EST
104,CZE
105,KOR
106,UKR
107,FRA
108,MAS
109,MAS
110,JPN
111,KOR
112,KOR
113,JPN
114,INA
115,IND
116,AUT
117,JPN
118,USA
119,KAZ
120,MGL
121,BLR
122,POL
123,IRI
124,USA
125,UZB
126,ROC
127,IND
128,ROC
129,SMR
130,AZE
131,JPN
132,KGZ
133,UKR
134,AZE
135,USA
136,EGY
137,GER
138,TUR
139,CHN
140,TUR
141,ROC
142,SRB
143,GER
144,CHN
145,ROC
146,BUL
147,USA
148,IRI
149,TUR
150,BUL
151,UKR
152,ITA
153,CUB
154,AUS
155,AUS
156,BRA
157,ESP
158,NZL
159,NZL
160,UKR
161,BRA
162,KOR
163,USA
164,JPN
165,JPN
166,ARM
167,TUR
168,GRE
169,NZL
170,TPE
171,SUI
172,GBR
173,JPN
174,CAN
175,FRA
176,AZE
177,NED
178,ROC
179,BRA
180,GER
181,BEL
182,AUT
183,BRA
184,KOR
185,KOR
186,MGL
187,UKR
188,MGL
189,FRA
190,ROC
191,HUN
192,UZB
193,POR
194,ROC
195,FRA
196,KAZ
197,ITA
198,CAN
199,ITA
200,GBR
201,JPN
202,USA
203,GBR
204,USA
205,ITA
206,JPN
207,KAZ
208,KAZ
209,ITA
210,ITA
211,USA
212,DOM
213,SYR
214,JPN
215,TPE
216,INA
217,INA
218,GEO
219,MEX
220,LAT
221,AUS
222,GBR
223,NED
224,KOR
225,HUN
226,BUR
227,KEN
228,NZL
229,NGR
230,ETH
231,BEL
232,AUS
233,JAM
234,CUB
235,CZE
236,CAN
237,USA
238,USA
239,JAM
240,USA
241,ESP
242,POL
243,NZL
244,CHN
245,GBR
246,POL
247,JAM
248,BLR
249,CUB
250,ETH
251,POL
252,KEN
253,USA
254,AUS
255,BRA
256,NED
257,UGA
258,BRA
259,AUT
260,USA
261,UKR
262,JPN
263,GRN
264,NED
265,GBR
266,USA
267,AUS
268,GER
269,ITA
270,FIN
271,AUS
272,DEN
273,AUS
274,USA
275,ITA
276,USA
277,BRA
278,BRA
279,ITA
280,CAN
281,SUI
282,GBR
283,CHN
284,SUI
285,USA
286,ESP
287,ESP
288,ESP
289,NED
290,GER
291,GER
292,NED
293,NED
294,NOR
295,CHN
296,GBR
297,FRA
298,FRA
299,GER
300,GER
301,SUI
302,ESP
303,NED
304,NED
305,NED
306,NED
307,DEN
308,DEN
309,CAN
310,CAN
311,AUT
312,ITA
313,ITA
314,CHN
315,CHN
316,CRO
317,AUT
318,TPE
319,UKR
320,HUN
321,EGY
322,TUR
323,CHN
324,KAZ
325,HKG
326,ITA
327,USA
328,TUR
329,TUR
330,JPN
331,JOR
332,KAZ
333,BLR
334,SUI
335,SUI
336,QAT
337,QAT
338,DEN
339,ROC
340,ROC
341,USA
342,DEN
343,ROC
344,ROC
345,USA
346,SMR
347,UKR
348,CAN
349,ITA
350,CHN
351,USA
352,USA
353,ROC
354,USA
355,UKR
356,SUI
357,CHN
358,CHN
359,CHN
360,GBR
361,JPN
362,AUS
363,GER
364,NED
365,USA
366,CAN
367,NED
368,AUS
369,SMR
370,USA
371,USA
372,ROC
373,ROC
374,CUB
375,CHN
376,USA
377,ROC
378,CZE
379,ITA
380,BUL
381,KOR
382,ROC
383,SRB
384,DEN
385,USA
386,USA
387,CAN
388,CAN
389,CHN
390,USA
391,USA
392,CHN
393,UKR
394,CHN
395,GER
396,GER
397,HUN
398,ESP
399,HUN
